W_min,W_max,W_pressure_thresh,W_decay,gate_every_k,B_far_target,B_far_max,ppl,ppl_delta_pct,decode_p50_ms,decode_p95_ms,kv_bytes_per_token,kv_kept_mean,W_mean,k_far_mean,feasible
32,128,0.5042029139740586,0.95,4,2.0,8,24733.34765625,-5.543680272962058,4.789081402122974,4.789081402122974,8220672.0,223.0,90.83076923076922,2.1,True
32,128,0.5370788699586624,0.95,4,2.0,8,25077.3515625,-4.229934013955785,4.784170538187027,4.784170538187027,6119424.0,166.0,32.0,2.1153846153846154,True
32,128,0.5753450994108428,0.95,4,2.0,8,25077.3515625,-4.229934013955785,4.789829254150391,4.789829254150391,6119424.0,166.0,32.0,2.1153846153846154,True
32,256,0.5042029139740586,0.95,4,2.0,8,25047.1689453125,-4.345201020221347,4.774859175086021,4.774859175086021,10874880.0,295.0,166.64615384615382,2.1,True
32,256,0.5370788699586624,0.95,4,2.0,8,25077.3515625,-4.229934013955785,4.772852174937725,4.772852174937725,6119424.0,166.0,32.0,2.1153846153846154,True
32,256,0.5753450994108428,0.95,4,2.0,8,25077.3515625,-4.229934013955785,4.785106051713228,4.785106051713228,6119424.0,166.0,32.0,2.1153846153846154,True
32,512,0.5042029139740586,0.95,4,2.0,8,25251.7861328125,-3.563770752359352,4.784912336617708,4.784912336617708,13344768.0,362.0,314.3384615384615,2.1,True
32,512,0.5370788699586624,0.95,4,2.0,8,25077.3515625,-4.229934013955785,4.7902618534862995,4.7902618534862995,6119424.0,166.0,32.0,2.1153846153846154,True
32,512,0.5753450994108428,0.95,4,2.0,8,25077.3515625,-4.229934013955785,4.79675829410553,4.79675829410553,6119424.0,166.0,32.0,2.1153846153846154,True
64,128,0.5042029139740586,0.95,4,2.0,8,25193.8369140625,-3.7850780339395262,4.792696330696344,4.792696330696344,8699904.0,236.0,103.38461538461539,2.1,True
64,128,0.5370788699586624,0.95,4,2.0,8,25332.833984375,-3.2542501049009194,4.793623462319374,4.793623462319374,7299072.0,198.0,64.0,2.1153846153846154,True
64,128,0.5753450994108428,0.95,4,2.0,8,25332.833984375,-3.2542501049009194,4.791005048900843,4.791005048900843,7299072.0,198.0,64.0,2.1153846153846154,True
64,256,0.5042029139740586,0.95,4,2.0,8,25522.083984375,-2.5315069179783523,4.7951340675354,4.7951340675354,11501568.0,312.0,180.18461538461537,2.1,True
64,256,0.5370788699586624,0.95,4,2.0,8,25332.833984375,-3.2542501049009194,4.789502825587988,4.789502825587988,7299072.0,198.0,64.0,2.1153846153846154,True
64,256,0.5753450994108428,0.95,4,2.0,8,25332.833984375,-3.2542501049009194,4.7811707481741905,4.7811707481741905,7299072.0,198.0,64.0,2.1153846153846154,True
64,512,0.5042029139740586,0.95,4,2.0,8,25734.2900390625,-1.7210948691059176,4.76599857211113,4.76599857211113,13971456.0,379.0,329.8461538461538,2.1,True
64,512,0.5370788699586624,0.95,4,2.0,8,25332.833984375,-3.2542501049009194,4.785556346178055,4.785556346178055,7299072.0,198.0,64.0,2.1153846153846154,True
64,512,0.5753450994108428,0.95,4,2.0,8,25332.833984375,-3.2542501049009194,4.7959135845303535,4.7959135845303535,7299072.0,198.0,64.0,2.1153846153846154,True
96,128,0.5042029139740586,0.95,4,2.0,8,24963.9482421875,-4.663019758369296,4.780394956469536,4.780394956469536,9179136.0,249.0,115.6923076923077,2.1153846153846154,True
96,128,0.5370788699586624,0.95,4,2.0,8,25246.5419921875,-3.5837980543830383,4.781149327754974,4.781149327754974,8478720.0,230.0,96.0,2.1153846153846154,True
96,128,0.5753450994108428,0.95,4,2.0,8,25246.5419921875,-3.5837980543830383,4.774036817252636,4.774036817252636,8478720.0,230.0,96.0,2.1153846153846154,True
96,256,0.5042029139740586,0.95,4,2.0,8,25294.353515625,-3.4012064939030293,4.7804987989366055,4.7804987989366055,11980800.0,325.0,193.47692307692307,2.1,True
96,256,0.5370788699586624,0.95,4,2.0,8,25246.5419921875,-3.5837980543830383,4.7802613116800785,4.7802613116800785,8478720.0,230.0,96.0,2.1153846153846154,True
96,256,0.5753450994108428,0.95,4,2.0,8,25246.5419921875,-3.5837980543830383,4.777772352099419,4.777772352099419,8478720.0,230.0,96.0,2.1153846153846154,True
96,512,0.5042029139740586,0.95,4,2.0,8,25523.5751953125,-2.5258120036040195,4.778388887643814,4.778388887643814,14598144.0,396.0,345.10769230769233,2.1,True
96,512,0.5370788699586624,0.95,4,2.0,8,25246.5419921875,-3.5837980543830383,4.799530375748873,4.799530375748873,8478720.0,230.0,96.0,2.1153846153846154,True
96,512,0.5753450994108428,0.95,4,2.0,8,25246.5419921875,-3.5837980543830383,4.801470320671797,4.801470320671797,8478720.0,230.0,96.0,2.1153846153846154,True
128,256,0.5042029139740586,0.95,4,2.0,8,25365.0693359375,-3.1311437338581163,4.795148968696594,4.795148968696594,12460032.0,338.0,206.76923076923077,2.1,True
128,256,0.5370788699586624,0.95,4,2.0,8,25034.2412109375,-4.394571862714747,4.800531547516584,4.800531547516584,9658368.0,262.0,128.0,2.1153846153846154,True
128,256,0.5753450994108428,0.95,4,2.0,8,25034.2412109375,-4.394571862714747,4.7937678173184395,4.7937678173184395,9658368.0,262.0,128.0,2.1153846153846154,True
128,512,0.5042029139740586,0.95,4,2.0,8,25568.1728515625,-2.3554941583865707,4.78723831474781,4.78723831474781,15077376.0,409.0,360.36923076923074,2.1,True
128,512,0.5370788699586624,0.95,4,2.0,8,25034.2412109375,-4.394571862714747,4.789138212800026,4.789138212800026,9658368.0,262.0,128.0,2.1153846153846154,True
128,512,0.5753450994108428,0.95,4,2.0,8,25034.2412109375,-4.394571862714747,4.79969521984458,4.79969521984458,9658368.0,262.0,128.0,2.1153846153846154,True
